DRILLHOLE_NO,z_true,EASTING_GDA2020,NORTHING_GDA2020
1176,12.6,214048.08,7098556.54
1177,4.916666666666667,245234.0,7085683.0
1178,9.0,213457.07,7088226.54
1179,9.9375,213032.76,7087481.81
1180,25.40833333333333,227595.65,7110402.54
1216,15.0,244635.94,7085912.55
1232,12.75,213549.61,7091863.49
1233,5.666666666666667,213291.06,7092081.56
1234,14.25,213639.68,7092423.58
1238,2.6158333333333332,310609.16,6456172.08
1239,3.1225000000000005,310177.07,6456159.17
1240,1.1400000000000001,309752.19,6456170.0
1241,1.295,309408.98,6456149.17
1245,3.25,310086.03,6453000.15
1246,24.4575,310553.89,6451646.2
1247,14.785,310675.12,6452269.23
1305,9.879166666666665,275197.12,6475024.24
1319,11.963333333333333,275568.15,6475198.42
1321,4.09,280488.05,6475873.25
1339,1.9025,279579.96,6474710.33
1340,3.1483333333333334,279704.07,6474725.3
1353,11.75,284835.95,6477458.18
1376,20.071428571428573,292973.16,6476339.36
1410,19.603125000000002,305374.93,6462962.34
1415,16.525000000000002,298361.08,6470734.27
1504,10.5,303420.03,6471122.07
1518,6.8705,262149.04,6540490.51
1519,21.192307692307693,270830.12,6540756.43
1520,12.416666666666666,278166.15,6540862.53
1521,2.5,261956.06,6548273.42
1522,5.625,276147.12,6562966.47
1523,31.90909090909091,261767.13,6556386.59
1524,29.322916666666668,262044.15,6544201.35
1525,43.955357142857146,262519.89,6524536.29
1526,17.270833333333332,270295.11,6532695.33
1527,15.107142857142858,278573.06,6532900.28
1528,13.75,274374.19,6532790.46
1529,31.836206896551722,266139.97,6532611.45
1530,25.52357142857143,262216.0,6536005.35
1531,24.08,266387.0,6540532.29
1532,37.976190476190474,274612.13,6540793.27
1533,18.22222222222222,262149.04,6540490.51
1542,28.25,262182.17,6545047.34
1545,34.737857142857145,268967.11,6622070.43
1563,4.483333333333333,285836.26,6613061.35
1575,126.22727272727273,263545.93,6693436.59
1577,108.5875,286299.22,6788088.48
1582,90.69999999999999,263814.4,6755157.61
1583,88.26428571428572,262898.44,6755487.64
1586,88.83125,260459.3,6757023.56
1588,161.0,257735.21,6758069.64
1592,232.60625,293375.37,6809108.57
1634,17.22222222222222,269725.92,7008484.53
1638,19.25,267494.72,6997176.52
1666,4.42,260615.72,7090068.59
1707,10.651666666666666,281755.64,7104843.5
1708,6.644,281755.64,7104843.5
1709,14.753,281480.97,7106081.69
1710,11.157777777777776,281761.64,7104849.47
1711,11.428571428571429,281315.32,7106005.2
1712,10.365,281290.48,7106007.11
